authors,number of publications,Degree,Betweenness,Deg_Cent
 Jan O Aasly,3,31,0.0007279437906028965,0.001853069519995218
 Manu Sharma,2,46,0.0007209362881578918,0.002749716061928388
 Kathy Dujardin,5,37,0.0007173031164328033,0.002211728136768486
 Barbara Jasinska-Myga,2,53,0.0007109868227043166,0.003168151114830534
 P Krack,2,23,0.0007071829692674372,0.001374858030964194
 Pierre Krystkowiak,3,27,0.0007003659240151606,0.001613963775479706
 Henk W Berendse,5,27,0.0006995251235141402,0.001613963775479706
 Peter Jenner,5,17,0.0006973667407854452,0.0010161994141909259
 Daniel M Corcos,3,19,0.0006971559080659567,0.0011357522864486821
 A J Lees,3,12,0.0006969986768853211,0.0007173172335465358
 Ronald B Postuma,2,15,0.0006967842707299093,0.00089664654193317
 Juei-Jueng Lin,2,51,0.000693388015993585,0.0030485982425727783
 Yih-Ru Wu,7,33,0.0006870488844938207,0.001972622392252974
 Antonio P Strafella,8,41,0.0006844206839502242,0.002450833881283998
 Wei Ping Gai,2,10,0.0006722743807799669,0.00059776436128878
 Laura Zavala-Flores,2,21,0.0006671896256163767,0.0012553051587064381
 Suzana Gispert,3,26,0.0006601351286111224,0.0015541873393508279
 Andrea A Kühn,2,9,0.0006572869143716204,0.000537987925159902
 R A Barker,5,30,0.0006565187947435272,0.00179329308386634
 Jan Kassubek,3,12,0.0006560185137142325,0.0007173172335465358
 W Wurst,2,34,0.0006559113106365264,0.0020323988283818518
 K L Double,2,9,0.0006559113106365264,0.000537987925159902
 Susanne A Schneider,2,8,0.0006559113106365264,0.00047821148903102404
 Claudio Pacchetti,4,62,0.0006553848244104591,0.003706139039990436
Patrícia Silva Guerreiro,2,10,0.0006419373711322341,0.00059776436128878
 P Vieregge,3,57,0.000640920687998934,0.0034072568593460453
 Hui Yang,3,19,0.0006312530379214429,0.0011357522864486821
 Jakob C Mueller,5,36,0.0006181225910058191,0.002151951700639608
 H Reichmann,4,23,0.0006154171347510383,0.001374858030964194
 Lars Forsgren,3,22,0.0006152813441859438,0.001315081594835316
 Giorgio Bernardi,3,23,0.0006111333945702728,0.001374858030964194
 Yaping Chu,3,15,0.0006108717242563031,0.00089664654193317
 David Burn,2,10,0.0005998457123949329,0.00059776436128878
 J Sun,2,29,0.000599131671772055,0.0017335166477374618
 Alexandre Eusebio,4,42,0.0005821516903436805,0.0025106103174128763
 Jinsha Huang,2,17,0.0005785726280887895,0.0010161994141909259
 Zhentao Zhang,2,17,0.0005785726280887895,0.0010161994141909259
 A Kupsch,3,21,0.0005742654466556201,0.0012553051587064381
 Daniel Martinez-Fong,2,25,0.0005741225092186784,0.00149441090322195
 Yu Wang,2,19,0.0005741225092186784,0.0011357522864486821
 P Calabresi,2,17,0.0005741225092186784,0.0010161994141909259
 Catherine E Myers,3,13,0.0005731469612115537,0.0007770936696754138
 Mark A Gluck,3,13,0.0005731469612115537,0.0007770936696754138
 Alan R Crossman,2,16,0.0005609413187693288,0.0009564229780620481
 Claudia Trenkwalder,5,21,0.0005511517780295807,0.0012553051587064381
 Christine Klein,2,42,0.0005416143846085025,0.0025106103174128763
 Evelyne Doudnikoff,3,25,0.000535516059331065,0.00149441090322195
 Honglei Chen,5,48,0.0005344854170955049,0.002869268934186144
 Toshiharu Nagatsu,4,16,0.0005335068365117903,0.0009564229780620481
 B Johnels,4,25,0.0005333924865622372,0.00149441090322195
 N W Wood,2,27,0.0005332066678942134,0.001613963775479706
 L C S Tan,2,16,0.0005332066678942134,0.0009564229780620481
 Jie Li,2,14,0.0005332066678942134,0.000836870105804292
 Brad A Racette,4,37,0.0005326206244027538,0.002211728136768486
 Klaus Seppi,4,35,0.0005163421154099332,0.00209217526451073
 Roger A Barker,10,18,0.0005128059222067573,0.001075975850319804
 Akiyoshi Kakita,4,15,0.0004941823653186382,0.00089664654193317
 James E Galvin,3,16,0.0004924194702629954,0.0009564229780620481
 Anne-Marie Bonnet,3,16,0.0004923837359037601,0.0009564229780620481
 Rüdiger Hilker,2,21,0.000492276532826054,0.0012553051587064381
 Yuichi Inoue,2,12,0.000492276532826054,0.0007173172335465358
 Christian Oehlwein,2,11,0.000492276532826054,0.000657540797417658
 K A Jellinger,2,10,0.000492276532826054,0.00059776436128878
 Moran Gilat,3,15,0.0004922228557813934,0.00089664654193317
 A Peppe,3,22,0.0004920478329269478,0.001315081594835316
 Sharon L Naismith,4,16,0.0004894505076428106,0.0009564229780620481
 Michael K Lee,4,23,0.0004822790930391119,0.001374858030964194
 Livia Brusa,5,31,0.00048076617109524093,0.001853069519995218
 Y Wang,4,35,0.0004722655121717799,0.00209217526451073
 Jie Wu,3,24,0.00047126115615975017,0.001434634467093072
